PassengerId,Survived,Pclass,Alone,AgeGroup,Sex_Coded,Embarked_Coded
1,0,3,0,2,0,3
2,1,1,0,3,1,1
3,1,3,1,2,1,3
4,1,1,0,3,1,3
5,0,3,1,3,0,3
7,0,1,1,4,0,3
8,0,3,0,1,0,3
9,1,3,0,2,1,3
10,1,2,0,1,1,1
11,1,3,0,1,1,3
12,1,1,1,4,1,3
13,0,3,1,1,0,3
14,0,3,0,4,0,3
15,0,3,1,1,1,3
16,1,2,1,4,1,3
17,0,3,0,1,0,2
19,0,3,0,3,1,3
21,0,2,1,3,0,3
22,1,2,1,3,0,3
23,1,3,1,1,1,2
24,1,1,1,2,0,3
25,0,3,0,1,1,3
26,1,3,0,3,1,3
28,0,1,0,1,0,3
31,0,1,1,4,0,1
34,0,2,1,4,0,3
35,0,1,0,2,0,1
36,0,1,0,4,0,3
38,0,3,1,2,0,3
39,0,3,0,1,1,3
40,1,3,0,1,1,1
41,0,3,0,4,1,3
42,0,2,0,2,1,3
44,1,2,0,1,1,1
45,1,3,1,1,1,2
50,0,3,0,1,1,3
51,0,3,0,1,0,3
52,0,3,1,2,0,3
53,1,1,0,4,1,1
54,1,2,0,3,1,3
55,0,1,0,4,0,1
57,1,2,1,2,1,3
58,0,3,1,3,0,1
59,1,2,0,1,1,3
60,0,3,0,1,0,3
61,0,3,1,2,0,1
62,1,1,1,3,1,3
63,0,1,0,4,0,3
64,0,3,0,1,0,3
67,1,2,1,3,1,3
68,0,3,1,1,0,3
69,1,3,0,1,1,3
70,0,3,0,2,0,3
71,0,2,1,3,0,3
72,0,3,0,1,1,3
73,0,2,1,2,0,3
74,0,3,0,2,0,1
75,1,3,1,3,0,3
76,0,3,1,2,0,3
79,1,2,0,1,0,3
80,1,3,1,3,1,3
81,0,3,1,2,0,3
82,1,3,1,3,0,3
84,0,1,1,2,0,3
85,1,2,1,1,1,3
86,1,3,0,3,1,3
87,0,3,0,1,0,3
89,1,1,0,2,1,3
90,0,3,1,2,0,3
91,0,3,1,3,0,3
92,0,3,1,1,0,3
93,0,1,0,4,0,3
94,0,3,0,2,0,3
95,0,3,1,4,0,3
97,0,1,1,4,0,1
98,1,1,0,2,0,1
99,1,2,0,3,1,3
100,0,2,0,3,0,3
101,0,3,1,2,1,3
103,0,1,0,2,0,3
104,0,3,1,3,0,3
105,0,3,0,3,0,3
106,0,3,1,2,0,3
107,1,3,1,2,1,3
109,0,3,1,3,0,3
111,0,1,1,4,0,3
112,0,3,0,1,1,1
113,0,3,1,2,0,3
114,0,3,0,1,1,3
115,0,3,1,1,1,1
116,0,3,1,2,0,3
117,0,3,1,4,0,2
118,0,2,0,3,0,3
119,0,1,0,2,0,1
120,0,3,0,1,1,3
121,0,2,0,2,0,3
123,0,2,0,3,0,1
124,1,2,1,3,1,3
125,0,1,0,4,0,3
126,1,3,0,1,0,1
128,1,3,1,2,0,3
130,0,3,1,4,0,3
131,0,3,1,3,0,1
132,0,3,1,1,0,3
133,0,3,0,4,1,3
134,1,2,0,3,1,3
135,0,2,1,2,0,3
136,0,2,1,2,0,1
137,1,1,0,1,1,3
138,0,1,0,3,0,3
139,0,3,1,1,0,3
140,0,1,1,2,0,1
142,1,3,1,2,1,3
143,1,3,0,2,1,3
144,0,3,1,1,0,2
145,0,2,1,1,0,3
146,0,2,0,1,0,3
147,1,3,1,2,0,3
148,0,3,0,1,1,3
149,0,2,0,3,0,3
150,0,2,1,4,0,3
151,0,2,1,4,0,3
152,1,1,0,2,1,3
153,0,3,1,4,0,3
154,0,3,0,4,0,3
156,0,1,0,4,0,1
157,1,3,1,1,1,2
158,0,3,1,3,0,3
161,0,3,0,4,0,3
162,1,2,1,4,1,3
163,0,3,1,2,0,3
164,0,3,1,1,0,3
165,0,3,0,1,0,3
166,1,3,0,1,0,3
168,0,3,0,4,1,3
170,0,3,1,2,0,3
171,0,1,1,4,0,3
172,0,3,0,1,0,2
173,1,3,0,1,1,3
174,0,3,1,2,0,3
175,0,1,1,4,0,1
176,0,3,0,1,0,3
178,0,1,1,4,1,1
179,0,2,1,3,0,3
180,0,3,1,3,0,3
183,0,3,0,1,0,3
184,1,2,0,1,0,3
185,1,3,0,1,1,3
188,1,1,1,4,0,3
189,0,3,0,4,0,2
190,0,3,1,3,0,3
191,1,2,1,3,1,3
192,0,2,1,1,0,3
193,1,3,0,1,1,3
194,1,2,0,1,0,3
195,1,1,1,4,1,1
196,1,1,1,4,1,1
198,0,3,0,4,0,3
200,0,2,1,2,1,3
201,0,3,1,2,0,3
203,0,3,1,3,0,3
204,0,3,1,4,0,1
205,1,3,1,1,0,3
206,0,3,0,1,1,3
207,0,3,0,3,0,3
208,1,3,1,2,0,1
209,1,3,1,1,1,2
210,1,1,1,4,0,1
211,0,3,1,2,0,3
212,1,2,1,3,1,3
213,0,3,1,2,0,3
214,0,2,1,3,0,3
216,1,1,0,3,1,1
217,1,3,1,2,1,3
218,0,2,0,4,0,3
219,1,1,1,3,1,1
220,0,2,1,3,0,3
221,1,3,1,1,0,3
222,0,2,1,2,0,3
223,0,3,1,4,0,3
225,1,1,0,3,0,3
226,0,3,1,2,0,3
227,1,2,1,1,0,3
228,0,3,1,2,0,3
229,0,2,1,1,0,3
231,1,1,0,3,1,3
232,0,3,1,3,0,3
233,0,2,1,4,0,3
234,1,3,0,1,1,3
235,0,2,1,2,0,3
237,0,2,0,4,0,3
238,1,2,0,1,1,3
239,0,2,1,1,0,3
240,0,2,1,3,0,3
243,0,2,1,3,0,3
244,0,3,1,2,0,3
245,0,3,1,3,0,1
246,0,1,0,4,0,2
247,0,3,1,2,1,3
248,1,2,0,2,1,3
249,1,1,0,3,0,3
250,0,2,0,4,0,3
252,0,3,0,3,1,3
253,0,1,1,4,0,3
254,0,3,0,3,0,3
255,0,3,0,4,1,3
256,1,3,0,3,1,1
258,1,1,1,3,1,3
259,1,1,1,3,1,1
260,1,2,0,4,1,3
262,1,3,0,1,0,3
263,0,1,0,4,0,3
264,0,1,1,4,0,3
266,0,2,1,3,0,3
267,0,3,0,1,0,3
268,1,3,0,2,0,3
269,1,1,0,4,1,3
270,1,1,1,3,1,3
272,1,3,1,2,0,3
273,1,2,0,4,1,3
274,0,1,0,3,0,1
276,1,1,0,4,1,3
277,0,3,1,4,1,3
279,0,3,0,1,0,2
280,1,3,0,3,1,3
281,0,3,1,4,0,2
282,0,3,1,2,0,3
283,0,3,1,1,0,3
284,1,3,1,1,0,3
286,0,3,1,3,0,1
287,1,3,1,3,0,3
288,0,3,1,2,0,3
289,1,2,1,4,0,3
290,1,3,1,2,1,2
291,1,1,1,2,1,3
292,1,1,0,1,1,1
293,0,2,1,3,0,1
294,0,3,1,2,1,3
295,0,3,1,2,0,3
297,0,3,1,2,0,1
298,0,1,0,1,1,3
300,1,1,0,4,1,1
303,0,3,1,1,0,3
306,1,1,0,1,0,3
308,1,1,0,1,1,1
309,0,2,0,3,0,1
310,1,1,1,3,1,1
311,1,1,1,2,1,1
312,1,1,0,1,1,1
313,0,2,0,2,1,3
314,0,3,1,2,0,3
315,0,2,0,4,0,3
316,1,3,1,2,1,3
317,1,2,0,2,1,3
318,0,2,1,4,0,3
319,1,1,0,3,1,3
320,1,1,0,4,1,1
321,0,3,1,2,0,3
322,0,3,1,2,0,3
323,1,2,1,3,1,2
324,1,2,0,2,1,3
326,1,1,1,3,1,1
327,0,3,1,4,0,3
328,1,2,1,3,1,3
329,1,3,0,3,1,3
330,1,1,0,1,1,1
332,0,1,1,4,0,3
333,0,1,0,3,0,3
334,0,3,0,1,0,3
337,0,1,0,3,0,3
338,1,1,1,4,1,1
339,1,3,1,4,0,3
340,0,1,1,4,0,3
341,1,2,0,1,0,3
342,1,1,0,2,1,3
343,0,2,1,2,0,3
344,0,2,1,2,0,3
345,0,2,1,3,0,3
346,1,2,1,2,1,3
347,1,2,1,4,1,3
349,1,3,0,1,0,3
350,0,3,1,4,0,3
351,0,3,1,2,0,3
353,0,3,0,1,0,1
354,0,3,0,2,0,3
356,0,3,1,2,0,3
357,1,1,0,2,1,3
358,0,2,1,3,1,3
361,0,3,0,4,0,3
362,0,2,0,3,0,1
363,0,3,0,4,1,1
364,0,3,1,3,0,3
366,0,3,1,3,0,3
367,1,1,0,4,1,1
370,1,1,1,2,1,1
371,1,1,0,2,0,1
372,0,3,0,1,0,3
373,0,3,1,1,0,3
374,0,1,1,2,0,1
375,0,3,0,1,1,3
377,1,3,1,2,1,3
378,0,1,0,2,0,1
379,0,3,1,1,0,1
380,0,3,1,1,0,3
381,1,1,1,4,1,1
382,1,3,0,1,1,1
383,0,3,1,3,0,3
384,1,1,0,3,1,3
386,0,2,1,1,0,3
387,0,3,0,1,0,3
388,1,2,1,3,1,3
390,1,2,1,1,1,1
391,1,1,0,3,0,3
392,1,3,1,2,0,3
393,0,3,0,2,0,3
394,1,1,0,2,1,1
395,1,3,0,2,1,3
396,0,3,1,2,0,3
397,0,3,1,3,1,3
398,0,2,1,4,0,3
399,0,2,1,2,0,3
400,1,2,1,2,1,3
401,1,3,1,4,0,3
402,0,3,1,2,0,3
403,0,3,0,2,1,3
404,0,3,0,2,0,3
405,0,3,1,1,1,3
406,0,2,0,3,0,3
407,0,3,1,4,0,3
408,1,2,0,1,0,3
409,0,3,1,2,0,3
413,1,1,0,3,1,2
415,1,3,1,4,0,3
417,1,2,0,3,1,3
418,1,2,0,1,1,3
419,0,2,1,3,0,3
420,0,3,0,1,1,3
422,0,3,1,2,0,2
423,0,3,1,3,0,3
424,0,3,0,2,1,3
425,0,3,0,1,0,3
427,1,2,0,2,1,3
